Nombre Pilar,Categor’a,Pregunta,Respuesta,Descripci—n,Ejemplo,Nivel de respuesta (1 a 5)
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe consideran el ciclo de vida y el impacto esperado de las tecnolog’as al momento de su adopci—n?,Se aplica una metodolog’a avanzada y sistem‡tica basada en curvas de madurez tecnol—gica y criterios de valor e impacto.,Existe una pol’tica organizacional robusta que exige evaluaci—n multidimensional de toda tecnolog’a nueva antes de inversi—n.,Se utiliza un modelo como TRL (Technology Readiness Level) en cada comit? de innovaci—n para aprobar tecnolog’as.,5
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀLa estrategia digital considera la experiencia del cliente como un elemento clave?,No se considera la experiencia ni el valor digital como parte de la propuesta al cliente.,"La propuesta de valor digital no ha sido considerada. No hay herramientas, canales ni experiencias digitales para el cliente.",Los procesos de atenci—n y venta son completamente presenciales.,1
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀLa estrategia digital considera la experiencia del cliente como un elemento clave?,"Existen iniciativas digitales aisladas dentro de la propuesta de valor, pero sin una estructura clara.",Existen esfuerzos digitales aislados pero no estructurados ni articulados con el resto del portafolio de valor.,"Se habilit— una app, pero no se conecta con los dem‡s canales de servicio.",2
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀLa estrategia digital considera la experiencia del cliente como un elemento clave?,"La propuesta digital est‡ parcialmente integrada en el portafolio de valor, con esfuerzos en algunos canales y productos.","Algunos productos o canales han sido digitalizados parcialmente, pero sin estandarizaci—n ni seguimiento.","Algunas compras pueden hacerse en l’nea, pero sin seguimiento o trazabilidad.",3
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀLa estrategia digital considera la experiencia del cliente como un elemento clave?,"La propuesta digital est‡ bien integrada, con soluciones multicanal, medibles y alineadas a las expectativas del mercado.","La propuesta digital est‡ integrada, disponible en varios canales, alineada a necesidades del cliente y se monitorea su desempe–o.",El cliente puede interactuar por distintos canales sin perder continuidad.,4
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀLa estrategia digital considera la experiencia del cliente como un elemento clave?,"La propuesta digital es diferenciadora, altamente automatizada, personalizada y optimizada con base en resultados del mercado.","La propuesta digital es altamente automatizada, personalizada y se ajusta continuamente con base en datos del mercado y del cliente.",La app recomienda productos personalizados y mejora la experiencia con base en datos del usuario.,5
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),"01. ÀQu? tan digitalizados est‡n los productos, servicios o canales de la propuesta de valor?",No se considera la experiencia ni el valor digital como parte de la propuesta al cliente.,"La organizaci—n no ha integrado ningœn componente digital en su propuesta de valor. Todos los productos, servicios y canales operan de forma completamente f’sica o manual.","Los clientes deben acudir presencialmente a las oficinas para contratar servicios, sin ningœn tipo de opci—n digital.",1
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),"01. ÀQu? tan digitalizados est‡n los productos, servicios o canales de la propuesta de valor?","Existen iniciativas digitales aisladas dentro de la propuesta de valor, pero sin una estructura clara.","Algunas partes de la propuesta de valor est‡n digitalizadas, pero no existe un plan integral o una estrategia cohesionada detr‡s. La experiencia del cliente es inconsistente.","La empresa tiene una app que permite consulta de saldos, pero otros procesos como contrataci—n o atenci—n siguen siendo presenciales.",2
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),"01. ÀQu? tan digitalizados est‡n los productos, servicios o canales de la propuesta de valor?","La propuesta digital est‡ parcialmente integrada en el portafolio de valor, con esfuerzos en algunos canales y productos.","Existen canales y productos digitales que funcionan bien, pero aœn hay procesos cr’ticos que permanecen manuales. Se avanza hacia una integraci—n m‡s amplia.","El cliente puede cotizar productos en l’nea y generar una orden, pero debe ir a sucursal para cerrar el proceso.",3
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),"01. ÀQu? tan digitalizados est‡n los productos, servicios o canales de la propuesta de valor?","La propuesta digital est‡ bien integrada, con soluciones multicanal, medibles y alineadas a las expectativas del mercado.",Los distintos canales digitales est‡n conectados y permiten una experiencia fluida. Hay indicadores para monitorear su desempe–o.,"El cliente puede iniciar un proceso desde la web, recibir atenci—n por WhatsApp y concluir su compra en una app, todo sincronizado.",4
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),"01. ÀQu? tan digitalizados est‡n los productos, servicios o canales de la propuesta de valor?","La propuesta digital es diferenciadora, altamente automatizada, personalizada y optimizada con base en resultados del mercado.","La empresa ofrece experiencias digitales de alto nivel, con procesos inteligentes, automatizados, adaptados al perfil de cada cliente y que evolucionan con base en datos.","El sistema recomienda productos con base en comportamiento del cliente, y toda la atenci—n se adapta en tiempo real a sus preferencias.",5
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀSe monitorea el desempe–o de la propuesta de valor digital en el mercado?,No se considera la experiencia ni el valor digital como parte de la propuesta al cliente.,No se han definido m?tricas ni mecanismos para monitorear la propuesta de valor digital. No se evalœa si las iniciativas digitales impactan positiva o negativamente.,No existen KPIs ni reportes relacionados con el rendimiento de los canales o productos digitales.,1
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀSe monitorea el desempe–o de la propuesta de valor digital en el mercado?,"Existen iniciativas digitales aisladas dentro de la propuesta de valor, pero sin una estructura clara.","Algunas m?tricas se recogen de manera aislada, pero no est‡n vinculadas a un proceso de monitoreo estructurado.","Se revisan m?tricas de tr‡fico de la web, pero no se hace un an‡lisis integral del desempe–o del ecosistema digital.",2
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀSe monitorea el desempe–o de la propuesta de valor digital en el mercado?,"La propuesta digital est‡ parcialmente integrada en el portafolio de valor, con esfuerzos en algunos canales y productos.","Se monitorean algunos aspectos de la propuesta digital, pero no se hace de forma integral ni con frecuencia definida.","Se mide el uso del chatbot y de la app, pero no se integran estas m?tricas con indicadores de satisfacci—n o conversi—n.",3
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀSe monitorea el desempe–o de la propuesta de valor digital en el mercado?,"La propuesta digital est‡ bien integrada, con soluciones multicanal, medibles y alineadas a las expectativas del mercado.","Se monitorean con regularidad los canales digitales, incluyendo su disponibilidad, uso, satisfacci—n e impacto en el cliente.","Cada canal digital tiene KPIs como tiempo de respuesta, tasa de conversi—n y satisfacci—n del usuario que se revisan mensualmente.",4
01. Estrategia y Definici—n de Valor,05. Propuesta de valor digital para el cliente (CX),01. ÀSe monitorea el desempe–o de la propuesta de valor digital en el mercado?,"La propuesta digital es diferenciadora, altamente automatizada, personalizada y optimizada con base en resultados del mercado.","Se utilizan herramientas de anal’tica avanzada y feedback en tiempo real para ajustar din‡micamente la propuesta digital, basada en desempe–o e interacci—n.","La empresa tiene dashboards en tiempo real con IA que ajusta contenidos, productos recomendados y acciones comerciales segœn el comportamiento del cliente.",5
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀCu‡l es el estado actual de la infraestructura tecnol—gica de la organizaci—n?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"La organizaci—n carece por completo de la base tecnol—gica o cultural para ejecutar procesos digitales, ya sea por infraestructura limitada, falta de conocimiento o ausencia total de iniciativas.","No hay servidores propios, ni redes adecuadas, ni personal capacitado para iniciativas digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀCu‡l es el estado actual de la infraestructura tecnol—gica de la organizaci—n?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han desarrollado iniciativas aisladas de digitalizaci—n o exploraci—n tecnol—gica, sin soporte estructural ni impacto medible. La conectividad o las pr‡cticas digitales son inestables o no estandarizadas.","Algunas ‡reas usan herramientas como Trello o formularios digitales, pero sin conexi—n entre s’.",2
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀCu‡l es el estado actual de la infraestructura tecnol—gica de la organizaci—n?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La infraestructura o pr‡cticas digitales ya permiten cierto nivel de operaci—n eficiente, aunque aœn hay trabajo por hacer en t?rminos de estandarizaci—n, adopci—n transversal o actualizaci—n de herramientas.","Las redes est‡n funcionando y existen herramientas b‡sicas implementadas, pero no cubren todas las ‡reas.",3
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀCu‡l es el estado actual de la infraestructura tecnol—gica de la organizaci—n?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","La organizaci—n cuenta con pr‡cticas digitales maduras, herramientas modernas e interconectadas, y una infraestructura que permite operaciones consistentes, seguras y escalables.",Todas las ‡reas operan con plataformas digitales conectadas; los flujos est‡n definidos y documentados.,4
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀCu‡l es el estado actual de la infraestructura tecnol—gica de la organizaci—n?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La organizaci—n es referente en digitalizaci—n, con una infraestructura s—lida, herramientas avanzadas, metodolog’as maduras y una cultura digital en constante evoluci—n.","La arquitectura tecnol—gica permite integrar nuevas tecnolog’as de forma ‡gil y segura, con monitoreo y mejora continua.",5
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀLa conectividad y redes actuales permiten operaciones digitales eficientes?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"La organizaci—n carece por completo de la base tecnol—gica o cultural para ejecutar procesos digitales, ya sea por infraestructura limitada, falta de conocimiento o ausencia total de iniciativas.","No hay servidores propios, ni redes adecuadas, ni personal capacitado para iniciativas digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀLa conectividad y redes actuales permiten operaciones digitales eficientes?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han desarrollado iniciativas aisladas de digitalizaci—n o exploraci—n tecnol—gica, sin soporte estructural ni impacto medible. La conectividad o las pr‡cticas digitales son inestables o no estandarizadas.","Algunas ‡reas usan herramientas como Trello o formularios digitales, pero sin conexi—n entre s’.",2
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀLa conectividad y redes actuales permiten operaciones digitales eficientes?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La infraestructura o pr‡cticas digitales ya permiten cierto nivel de operaci—n eficiente, aunque aœn hay trabajo por hacer en t?rminos de estandarizaci—n, adopci—n transversal o actualizaci—n de herramientas.","Las redes est‡n funcionando y existen herramientas b‡sicas implementadas, pero no cubren todas las ‡reas.",3
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀLa conectividad y redes actuales permiten operaciones digitales eficientes?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","La organizaci—n cuenta con pr‡cticas digitales maduras, herramientas modernas e interconectadas, y una infraestructura que permite operaciones consistentes, seguras y escalables.",Todas las ‡reas operan con plataformas digitales conectadas; los flujos est‡n definidos y documentados.,4
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀLa conectividad y redes actuales permiten operaciones digitales eficientes?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La organizaci—n es referente en digitalizaci—n, con una infraestructura s—lida, herramientas avanzadas, metodolog’as maduras y una cultura digital en constante evoluci—n.","La arquitectura tecnol—gica permite integrar nuevas tecnolog’as de forma ‡gil y segura, con monitoreo y mejora continua.",5
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀQu? tan adecuadas son las plataformas y el hardware para soportar operaciones digitales?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"La organizaci—n carece por completo de la base tecnol—gica o cultural para ejecutar procesos digitales, ya sea por infraestructura limitada, falta de conocimiento o ausencia total de iniciativas.","No hay servidores propios, ni redes adecuadas, ni personal capacitado para iniciativas digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀQu? tan adecuadas son las plataformas y el hardware para soportar operaciones digitales?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han desarrollado iniciativas aisladas de digitalizaci—n o exploraci—n tecnol—gica, sin soporte estructural ni impacto medible. La conectividad o las pr‡cticas digitales son inestables o no estandarizadas.","Algunas ‡reas usan herramientas como Trello o formularios digitales, pero sin conexi—n entre s’.",2
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀQu? tan adecuadas son las plataformas y el hardware para soportar operaciones digitales?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La infraestructura o pr‡cticas digitales ya permiten cierto nivel de operaci—n eficiente, aunque aœn hay trabajo por hacer en t?rminos de estandarizaci—n, adopci—n transversal o actualizaci—n de herramientas.","Las redes est‡n funcionando y existen herramientas b‡sicas implementadas, pero no cubren todas las ‡reas.",3
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀQu? tan adecuadas son las plataformas y el hardware para soportar operaciones digitales?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","La organizaci—n cuenta con pr‡cticas digitales maduras, herramientas modernas e interconectadas, y una infraestructura que permite operaciones consistentes, seguras y escalables.",Todas las ‡reas operan con plataformas digitales conectadas; los flujos est‡n definidos y documentados.,4
02. Tecnolog’a y Automatizaci—n de Procesos,01. Infraestructura tecnol—gica y conectividad,01. ÀQu? tan adecuadas son las plataformas y el hardware para soportar operaciones digitales?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La organizaci—n es referente en digitalizaci—n, con una infraestructura s—lida, herramientas avanzadas, metodolog’as maduras y una cultura digital en constante evoluci—n.","La arquitectura tecnol—gica permite integrar nuevas tecnolog’as de forma ‡gil y segura, con monitoreo y mejora continua.",5
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,"01. ÀLa organizaci—n utiliza metodolog’as como Agile, Design Sprint o Lean para implementar soluciones digitales?",No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"La organizaci—n carece por completo de la base tecnol—gica o cultural para ejecutar procesos digitales, ya sea por infraestructura limitada, falta de conocimiento o ausencia total de iniciativas.","No hay servidores propios, ni redes adecuadas, ni personal capacitado para iniciativas digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,"01. ÀLa organizaci—n utiliza metodolog’as como Agile, Design Sprint o Lean para implementar soluciones digitales?","Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han desarrollado iniciativas aisladas de digitalizaci—n o exploraci—n tecnol—gica, sin soporte estructural ni impacto medible. La conectividad o las pr‡cticas digitales son inestables o no estandarizadas.","Algunas ‡reas usan herramientas como Trello o formularios digitales, pero sin conexi—n entre s’.",2
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,"01. ÀLa organizaci—n utiliza metodolog’as como Agile, Design Sprint o Lean para implementar soluciones digitales?","Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La infraestructura o pr‡cticas digitales ya permiten cierto nivel de operaci—n eficiente, aunque aœn hay trabajo por hacer en t?rminos de estandarizaci—n, adopci—n transversal o actualizaci—n de herramientas.","Las redes est‡n funcionando y existen herramientas b‡sicas implementadas, pero no cubren todas las ‡reas.",3
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,"01. ÀLa organizaci—n utiliza metodolog’as como Agile, Design Sprint o Lean para implementar soluciones digitales?","La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","La organizaci—n cuenta con pr‡cticas digitales maduras, herramientas modernas e interconectadas, y una infraestructura que permite operaciones consistentes, seguras y escalables.",Todas las ‡reas operan con plataformas digitales conectadas; los flujos est‡n definidos y documentados.,4
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,"01. ÀLa organizaci—n utiliza metodolog’as como Agile, Design Sprint o Lean para implementar soluciones digitales?","La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La organizaci—n es referente en digitalizaci—n, con una infraestructura s—lida, herramientas avanzadas, metodolog’as maduras y una cultura digital en constante evoluci—n.","La arquitectura tecnol—gica permite integrar nuevas tecnolog’as de forma ‡gil y segura, con monitoreo y mejora continua.",5
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan estandarizado es el uso de metodolog’as digitales en los proyectos?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"La organizaci—n carece por completo de la base tecnol—gica o cultural para ejecutar procesos digitales, ya sea por infraestructura limitada, falta de conocimiento o ausencia total de iniciativas.","No hay servidores propios, ni redes adecuadas, ni personal capacitado para iniciativas digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan estandarizado es el uso de metodolog’as digitales en los proyectos?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han desarrollado iniciativas aisladas de digitalizaci—n o exploraci—n tecnol—gica, sin soporte estructural ni impacto medible. La conectividad o las pr‡cticas digitales son inestables o no estandarizadas.","Algunas ‡reas usan herramientas como Trello o formularios digitales, pero sin conexi—n entre s’.",2
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan estandarizado es el uso de metodolog’as digitales en los proyectos?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La infraestructura o pr‡cticas digitales ya permiten cierto nivel de operaci—n eficiente, aunque aœn hay trabajo por hacer en t?rminos de estandarizaci—n, adopci—n transversal o actualizaci—n de herramientas.","Las redes est‡n funcionando y existen herramientas b‡sicas implementadas, pero no cubren todas las ‡reas.",3
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan estandarizado es el uso de metodolog’as digitales en los proyectos?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","La organizaci—n cuenta con pr‡cticas digitales maduras, herramientas modernas e interconectadas, y una infraestructura que permite operaciones consistentes, seguras y escalables.",Todas las ‡reas operan con plataformas digitales conectadas; los flujos est‡n definidos y documentados.,4
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan estandarizado es el uso de metodolog’as digitales en los proyectos?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La organizaci—n es referente en digitalizaci—n, con una infraestructura s—lida, herramientas avanzadas, metodolog’as maduras y una cultura digital en constante evoluci—n.","La arquitectura tecnol—gica permite integrar nuevas tecnolog’as de forma ‡gil y segura, con monitoreo y mejora continua.",5
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan frecuente es la aplicaci—n pr‡ctica de metodolog’as digitales en proyectos tecnol—gicos?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"La organizaci—n carece por completo de la base tecnol—gica o cultural para ejecutar procesos digitales, ya sea por infraestructura limitada, falta de conocimiento o ausencia total de iniciativas.","No hay servidores propios, ni redes adecuadas, ni personal capacitado para iniciativas digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan frecuente es la aplicaci—n pr‡ctica de metodolog’as digitales en proyectos tecnol—gicos?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han desarrollado iniciativas aisladas de digitalizaci—n o exploraci—n tecnol—gica, sin soporte estructural ni impacto medible. La conectividad o las pr‡cticas digitales son inestables o no estandarizadas.","Algunas ‡reas usan herramientas como Trello o formularios digitales, pero sin conexi—n entre s’.",2
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan frecuente es la aplicaci—n pr‡ctica de metodolog’as digitales en proyectos tecnol—gicos?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La infraestructura o pr‡cticas digitales ya permiten cierto nivel de operaci—n eficiente, aunque aœn hay trabajo por hacer en t?rminos de estandarizaci—n, adopci—n transversal o actualizaci—n de herramientas.","Las redes est‡n funcionando y existen herramientas b‡sicas implementadas, pero no cubren todas las ‡reas.",3
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan frecuente es la aplicaci—n pr‡ctica de metodolog’as digitales en proyectos tecnol—gicos?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","La organizaci—n cuenta con pr‡cticas digitales maduras, herramientas modernas e interconectadas, y una infraestructura que permite operaciones consistentes, seguras y escalables.",Todas las ‡reas operan con plataformas digitales conectadas; los flujos est‡n definidos y documentados.,4
02. Tecnolog’a y Automatizaci—n de Procesos,02. Uso de metodolog’as digitales,01. ÀQu? tan frecuente es la aplicaci—n pr‡ctica de metodolog’as digitales en proyectos tecnol—gicos?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La organizaci—n es referente en digitalizaci—n, con una infraestructura s—lida, herramientas avanzadas, metodolog’as maduras y una cultura digital en constante evoluci—n.","La arquitectura tecnol—gica permite integrar nuevas tecnolog’as de forma ‡gil y segura, con monitoreo y mejora continua.",5
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? porcentaje de los procesos clave est‡n automatizados?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,La mayor’a de los procesos son manuales o est‡n en sistemas aislados sin automatizaci—n ni monitoreo digital.,Los procesos operativos dependen totalmente de documentos en papel y supervisi—n manual.,1
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? porcentaje de los procesos clave est‡n automatizados?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han digitalizado ciertas actividades aisladas, pero sin una estrategia clara ni integraci—n entre sistemas.","Se usan hojas de c‡lculo o formularios digitales, pero no hay flujo autom‡tico entre ‡reas.",2
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? porcentaje de los procesos clave est‡n automatizados?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La organizaci—n ha avanzado en digitalizaci—n y automatizaci—n de procesos clave, aunque aœn con algunas brechas.","Cadenas productivas est‡n parcialmente automatizadas, pero aœn requieren intervenci—n manual.",3
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? porcentaje de los procesos clave est‡n automatizados?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","Existe un alto grado de automatizaci—n en los procesos operativos cr’ticos, con uso de plataformas integradas.","La recepci—n, procesamiento y seguimiento de pedidos est‡ completamente automatizado.",4
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? porcentaje de los procesos clave est‡n automatizados?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","La automatizaci—n cubre de forma integral los procesos, est‡ conectada en tiempo real y es gestionada con anal’tica.",Los flujos operativos usan sistemas SCADA + ERP + sensores para tomar decisiones automatizadas.,5
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? tan robustas y modernas son las herramientas utilizadas para la automatizaci—n?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,"Las herramientas actuales son rudimentarias, no est‡n conectadas a sistemas centrales ni permiten escalabilidad. No existe visibilidad del proceso m‡s all‡ del control visual.","La operaci—n se realiza con equipos manuales, sin sensores, interfaces ni registros digitales.",1
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? tan robustas y modernas son las herramientas utilizadas para la automatizaci—n?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se utilizan tecnolog’as b‡sicas como hojas de c‡lculo o controladores simples, pero sin integraci—n con otras ‡reas o con bajo nivel de automatizaci—n real.","Cada m‡quina opera de forma independiente, con controles anal—gicos sin sincronizaci—n.",2
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? tan robustas y modernas son las herramientas utilizadas para la automatizaci—n?,"Las capacidades tecnol—gicas son funcionales, con conectividad y herramientas en proceso de consolidaci—n.","La empresa cuenta con algunas soluciones tecnol—gicas modernas en ‡reas espec’ficas, aunque persisten brechas de conectividad o estandarizaci—n.","El ‡rea de producci—n tiene SCADA, pero el resto de la cadena log’stica sigue usando hojas de Excel.",3
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? tan robustas y modernas son las herramientas utilizadas para la automatizaci—n?,"La infraestructura, metodolog’as y herramientas digitales son modernas, estandarizadas y eficientes.","Se han implementado herramientas digitales modernas y robustas, con conectividad entre equipos, controladores y sistemas de gesti—n.",Todas las l’neas de producci—n est‡n conectadas a un centro de monitoreo que actualiza datos cada 5 minutos.,4
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀQu? tan robustas y modernas son las herramientas utilizadas para la automatizaci—n?,"La organizaci—n opera con tecnolog’a de punta, automatizaci—n avanzada e integraci—n total entre sistemas.","Las herramientas permiten gestionar procesos complejos, adaptarse en tiempo real, detectar desviaciones autom‡ticamente y generar reportes inteligentes sin intervenci—n humana.",Los sensores inteligentes detectan condiciones anormales y env’an alertas al sistema de mantenimiento predictivo.,5
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀCu‡l es el impacto observable de la automatizaci—n en la eficiencia operativa?,No existe capacidad tecnol—gica suficiente ni conectividad para soportar operaciones digitales.,La organizaci—n no cuenta con sistemas automatizados ni infraestructura digital. Las operaciones dependen por completo de procedimientos manuales y la productividad est‡ estancada. No se ha identificado ninguna mejora significativa atribuible a la tecnolog’a.,Los operarios gestionan manualmente cada fase del proceso y el control de tiempos se hace con cron—metro.,1
02. Tecnolog’a y Automatizaci—n de Procesos,03. Automatizaci—n de procesos operativos,01. ÀCu‡l es el impacto observable de la automatizaci—n en la eficiencia operativa?,"Existen esfuerzos limitados con tecnolog’as b‡sicas, conectividad parcial o no estandarizada.","Se han implementado algunas soluciones tecnol—gicas b‡sicas como formularios digitales o herramientas aisladas, pero su impacto en eficiencia operativa es marginal o no ha sido medido formalmente.","Se usa un formulario digital para registrar producci—n, pero los reportes siguen gener‡ndose manualmente.",2
